,1.º Trimestre de 2024,4.º Trimestre de 2023,3.º Trimestre de 2023,2.º Trimestre de 2023,1.º Trimestre de 2023,4.º Trimestre de 2022,3.º Trimestre de 2022,2.º Trimestre de 2022,1.º Trimestre de 2022,4.º Trimestre de 2021,3.º Trimestre de 2021,2.º Trimestre de 2021,1.º Trimestre de 2021,4.º Trimestre de 2020,3.º Trimestre de 2020,2.º Trimestre de 2020,1.º Trimestre de 2024,4.º Trimestre de 2023,3.º Trimestre de 2023,2.º Trimestre de 2023,1.º Trimestre de 2023,4.º Trimestre de 2022,3.º Trimestre de 2022,2.º Trimestre de 2022,1.º Trimestre de 2022,4.º Trimestre de 2021,3.º Trimestre de 2021,2.º Trimestre de 2021,1.º Trimestre de 2021,4.º Trimestre de 2020,3.º Trimestre de 2020,2.º Trimestre de 2020,1.º Trimestre de 2024,4.º Trimestre de 2023,3.º Trimestre de 2023,2.º Trimestre de 2023,1.º Trimestre de 2023,4.º Trimestre de 2022,3.º Trimestre de 2022,2.º Trimestre de 2022,1.º Trimestre de 2022,4.º Trimestre de 2021,3.º Trimestre de 2021,2.º Trimestre de 2021,1.º Trimestre de 2021,4.º Trimestre de 2020,3.º Trimestre de 2020,2.º Trimestre de 2020
,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
PT: Portugal,"6,8","6,6","6,1","6,1","7,2","6,6",6,"5,9","6,1","6,4","6,2","6,9","7,3","7,3",8,"5,7","6,2","6,4","5,5","5,8","6,9","6,1","5,3","5,7","5,5","6,2","5,5","6,6","6,9",7,"7,9","5,8","7,5","6,9","6,7","6,4","7,5",7,"6,7","6,2","6,6","6,7",7,"7,2","7,6","7,6",8,"5,7"
1: Continente,"6,8","6,7","6,1","6,1","7,2","6,6",6,"5,9",6,"6,4","6,2","6,8","7,2","7,2",8,"5,7","6,1","6,4","5,6","5,8","6,9","6,1","5,3","5,6","5,4","6,2","5,5","6,6","6,9",7,8,"5,7","7,6","6,9","6,7","6,4","7,5",7,"6,7","6,2","6,6","6,7","6,9","7,1","7,5","7,5",8,"5,7"
2: Região Autónoma dos Açores,7,"6,9",6,"6,6","6,2","5,5",6,6,"6,7","8,1","6,9",7,7,"5,6",7,5,"6,6 §","6,6 §",5 §,"5,8 §","5,9 §","4,8 §","5,5 §","5,6 §","6,5 §","8,1 §","5,3 §","5,1 §","6,1 §",x x,x x,x x,"7,3 §","7,2 §","7,1 §","7,5 §","6,4 §","6,1 §","6,5 §","6,5 §","6,9 §","8,1 §","8,8 §","9,1 §","8,1 §",x x,x x,x x
3: Região Autónoma da Madeira,"6,1","6,2","4,8","6,2","6,4","6,8","6,2","7,3","7,6","6,5","7,4","8,4","9,8","11,3","9,2","7,2",6 §,"6,3 §","5,1 §","5,5 §","5,6 §","6,1 §","5,8 §","7,9 §","7,2 §","6,5 §","6,9 §","7,8 §","8,6 §",x x,x x,x x,"6,2 §","6,1 §","4,6 §","6,8 §","7,3 §","7,5 §","6,6 §","6,8 §","7,9 §","6,6 §","7,8 §","9,1 §",11 §,"11,8",x x,x x
